,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
1140,2021-12-31,USD,-1037000000,3542000000,4028000000,2364000000,463000000,542000000,None,1664000000,2000000,-90000000,2000000,90000000,3632000000,2000000,None,262000000,377000000,59000000,91000000,318000000,357000000,467000000,729000000,318000000,IQV
1141,2021-09-30,USD,727000000,3298000000,2753000000,2253000000,302000000,498000000,None,500000000,2000000,-92000000,90000000,92000000,3390000000,62000000,None,336000000,273000000,12000000,93000000,261000000,143000000,365000000,701000000,261000000,IQV
1142,2021-06-30,USD,715000000,3344000000,2809000000,2323000000,286000000,482000000,None,486000000,1000000,-94000000,93000000,94000000,3438000000,29000000,None,343000000,223000000,48000000,94000000,175000000,234000000,317000000,660000000,175000000,IQV
1143,2021-03-31,USD,731000000,3286000000,2744000000,2293000000,342000000,442000000,None,451000000,1000000,-99000000,1000000,99000000,3385000000,37000000,None,323000000,256000000,44000000,123000000,217000000,41000000,355000000,678000000,212000000,IQV
1144,2020-12-31,USD,3298000000,3298000000,3818000000,2172000000,289000000,491000000,None,1646000000,2000000,-102000000,2000000,102000000,3298000000,6000000,None,344000000,182000000,63000000,103000000,289000000,231000000,284000000,628000000,119000000,IQV
1145,2020-09-30,USD,600000000,2686000000,2280000000,1800000000,187000000,460000000,None,480000000,1000000,-100000000,99000000,100000000,2786000000,14000000,None,319000000,98000000,-3000000,100000000,108000000,228000000,198000000,517000000,101000000,IQV
1146,2020-06-30,USD,449000000,2401000000,2151000000,1704000000,62000000,431000000,None,447000000,1000000,-108000000,1000000,108000000,2509000000,32000000,None,308000000,-28000000,-5000000,120000000,-21000000,18000000,80000000,388000000,-23000000,IQV
1147,2020-03-31,USD,547000000,2648000000,2245000000,1824000000,193000000,407000000,None,421000000,2000000,-106000000,2000000,106000000,2754000000,13000000,None,316000000,99000000,17000000,106000000,91000000,-92000000,205000000,521000000,82000000,IQV
1148,2019-12-31,USD,2895000000,2895000000,3489000000,1901000000,166000000,484000000,None,1589000000,2000000,-109000000,2000000,109000000,2895000000,37000000,None,314000000,84000000,68000000,109000000,166000000,82000000,193000000,507000000,16000000,IQV
1149,2019-09-30,USD,563000000,2631000000,2266000000,1852000000,204000000,395000000,None,414000000,3000000,-114000000,3000000,114000000,2745000000,0,None,299000000,56000000,-1000000,138000000,69000000,-105000000,170000000,469000000,57000000,IQV
1150,2019-06-30,USD,562000000,2626000000,450000000,1799000000,197000000,436000000,None,450000000,2000000,-114000000,2000000,114000000,2740000000,-7000000,None,294000000,68000000,8000000,114000000,71000000,107000000,182000000,476000000,60000000,IQV
1151,2019-03-31,USD,556000000,2574000000,431000000,1748000000,210000000,419000000,None,431000000,2000000,-110000000,2000000,110000000,2684000000,7000000,None,295000000,99000000,41000000,110000000,67000000,20000000,209000000,504000000,58000000,IQV
1152,2018-12-31,USD,2688000000,2688000000,1461000000,1742000000,207000000,443000000,None,1461000000,3000000,-106000000,None,106000000,2688000000,0,None,294000000,99000000,30000000,106000000,207000000,65000000,205000000,499000000,69000000,IQV
1153,2018-09-30,USD,2037000000,2489000000,452000000,1678000000,181000000,429000000,None,452000000,2000000,-105000000,None,105000000,2594000000,-27000000,None,283000000,46000000,-14000000,105000000,67000000,-56000000,151000000,434000000,60000000,IQV
