,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
425,2019-12-31,USD,8169000000,22349000000,14180000000,None,2091000000,5908000000,None,6078000000,None,12140000000,16926000000,4786000000,10209000000,None,None,28000000,8169000000,1175000000,4786000000,6994000000,5978000000,12955000000,12983000000,6994000000,BAC
426,2019-09-30,USD,6859000000,22807000000,15948000000,None,2826000000,3652000000,None,4033000000,None,12187000000,17916000000,5729000000,10620000000,None,None,29000000,6859000000,1082000000,5729000000,5777000000,7637000000,12588000000,12617000000,5777000000,BAC
427,2019-06-30,USD,8959000000,23084000000,14125000000,None,5082000000,3734000000,None,3877000000,None,12189000000,18224000000,6035000000,10895000000,None,None,29000000,8959000000,1611000000,6035000000,7348000000,9913000000,14994000000,15023000000,7348000000,BAC
428,2019-03-31,USD,8767000000,23004000000,14237000000,None,5097000000,3571000000,None,3670000000,None,12375000000,18170000000,5795000000,10629000000,None,None,26000000,8767000000,1456000000,5795000000,7311000000,9480000000,14562000000,14588000000,7311000000,BAC
429,2018-12-31,USD,8698000000,22677000000,14038000000,6437000000,27723000000,-19336000000,None,-19025000000,None,12504000000,17836000000,5332000000,10173000000,None,None,134000000,8698000000,1420000000,6261000000,7278000000,9903000000,14030000000,14164000000,7278000000,BAC
430,2018-09-30,USD,8994000000,22724000000,13783000000,5811000000,-1790000000,10560000000,None,10784000000,None,12061000000,16965000000,4904000000,10663000000,None,None,134000000,8994000000,1827000000,5095000000,7167000000,5664000000,13898000000,14032000000,7167000000,BAC
431,2018-06-30,USD,8498000000,22549000000,14111000000,5546000000,-2446000000,10723000000,None,10944000000,None,11828000000,16369000000,4541000000,10721000000,None,None,135000000,8498000000,1714000000,4719000000,6784000000,5729000000,13039000000,13174000000,6784000000,BAC
432,2018-03-31,USD,8394000000,23070000000,14731000000,4825000000,-3070000000,11213000000,None,11464000000,None,11769000000,15599000000,3830000000,11301000000,None,None,135000000,8394000000,1476000000,3991000000,6918000000,2935000000,12224000000,12359000000,6918000000,BAC
433,2022-12-31,USD,1588000000,24020000000,17412000000,191000000,-1640000000,900000000,None,3228000000,None,13433000000,17793000000,4360000000,6227000000,None,None,971000000,2737000000,-127000000,4360000000,2628000000,3827000000,7097000000,8068000000,2864000000,WFC
434,2022-09-30,USD,4413000000,21901000000,15359000000,186000000,2320000000,858000000,None,2093000000,None,12098000000,14494000000,2396000000,7407000000,None,None,76000000,4422000000,894000000,2396000000,3500000000,-208000000,6818000000,6894000000,3528000000,WFC
435,2022-06-30,USD,3816000000,18386000000,13712000000,185000000,1699000000,807000000,None,2117000000,None,10198000000,11556000000,1358000000,6830000000,None,None,79000000,3732000000,613000000,1358000000,2952000000,-722000000,5090000000,5169000000,3119000000,WFC
436,2022-03-31,USD,6126000000,18552000000,13330000000,188000000,3940000000,821000000,None,2186000000,None,9221000000,10181000000,960000000,8371000000,None,None,74000000,4378000000,707000000,960000000,3802000000,-1394000000,5338000000,5412000000,3671000000,WFC
437,2021-12-31,USD,9195000000,21715000000,13007000000,195000000,5531000000,950000000,None,3590000000,None,9262000000,10121000000,859000000,11594000000,None,None,1180000000,7461000000,1711000000,859000000,6399000000,5225000000,8320000000,9500000000,5750000000,WFC
438,2021-09-30,USD,9281000000,19759000000,12189000000,220000000,6972000000,891000000,None,2309000000,None,8909000000,9834000000,925000000,9925000000,None,None,81000000,6643000000,1521000000,925000000,5405000000,4509000000,7568000000,7649000000,5122000000,WFC
439,2021-06-30,USD,10425000000,21163000000,12340000000,226000000,8112000000,867000000,None,2313000000,None,8800000000,9693000000,893000000,11470000000,None,None,53000000,7485000000,1445000000,893000000,6744000000,6726000000,8378000000,8431000000,6040000000,WFC
440,2021-03-31,USD,7143000000,19770000000,13232000000,226000000,4796000000,860000000,None,2347000000,None,8808000000,10046000000,1238000000,9724000000,None,None,86000000,5537000000,901000000,1238000000,4796000000,3192000000,6775000000,6861000000,4636000000,WFC
441,2020-12-31,USD,-4841000000,19684000000,14896000000,205000000,-9339000000,964000000,None,4427000000,None,9355000000,10550000000,1195000000,9134000000,None,None,1089000000,3665000000,574000000,1195000000,3194000000,4012000000,4860000000,5949000000,3091000000,WFC
442,2020-09-30,USD,2499000000,18862000000,16363000000,291000000,-974000000,995000000,None,3473000000,None,9379000000,10811000000,1432000000,9937000000,None,None,266000000,3133000000,-83000000,1432000000,2219000000,2084000000,4565000000,4831000000,3216000000,WFC
443,2020-06-30,USD,-6349000000,17836000000,24185000000,244000000,-9799000000,1766000000,None,2422000000,None,9892000000,11813000000,1921000000,8394000000,None,None,22000000,-5847000000,-2001000000,1921000000,-2332000000,-1613000000,-3926000000,-3904000000,-3846000000,WFC
444,2020-03-31,USD,598000000,17717000000,17119000000,260000000,-8484000000,7474000000,None,8127000000,None,11312000000,14727000000,3415000000,6405000000,None,None,23000000,812000000,159000000,3415000000,505000000,399000000,4227000000,4250000000,653000000,WFC
445,2019-12-31,USD,3531000000,19860000000,16329000000,331000000,-15969000000,11853000000,None,15578000000,None,11272000000,15667000000,4395000000,10357000000,None,None,1318000000,5321000000,2282000000,4395000000,2924000000,3201000000,9716000000,11034000000,3039000000,WFC
446,2019-09-30,USD,6048000000,22010000000,15962000000,272000000,-598000000,6619000000,None,6646000000,None,11625000000,16499000000,4874000000,10385000000,None,None,27000000,5914000000,1304000000,4874000000,4812000000,5195000000,10788000000,10815000000,4610000000,WFC
447,2019-06-30,USD,7563000000,21584000000,14021000000,None,940000000,6596000000,None,6623000000,None,12095000000,16986000000,4891000000,9489000000,None,None,27000000,7500000000,1294000000,4891000000,6338000000,7664000000,12391000000,12418000000,6206000000,WFC
448,2019-03-31,USD,6782000000,21609000000,14827000000,None,-326000000,7080000000,None,7108000000,None,12311000000,17003000000,4692000000,9298000000,None,None,28000000,6741000000,881000000,4692000000,5967000000,8033000000,11433000000,11461000000,5860000000,WFC
449,2018-12-31,USD,7052000000,20980000000,13928000000,4798000000,-6898000000,11252000000,None,13918000000,None,12644000000,16921000000,4277000000,8336000000,None,None,506000000,7030000000,966000000,4277000000,6154000000,6601000000,11307000000,11813000000,6064000000,WFC
450,2018-09-30,USD,7530000000,21941000000,14411000000,4372000000,710000000,6556000000,None,6820000000,None,12572000000,16364000000,3792000000,9369000000,None,None,264000000,7519000000,1512000000,3792000000,6086000000,4995000000,11311000000,11575000000,6007000000,WFC
451,2018-06-30,USD,7054000000,21553000000,14499000000,3926000000,357000000,6432000000,None,6697000000,None,12541000000,16015000000,3474000000,9012000000,None,None,265000000,6996000000,1810000000,3474000000,5309000000,4646000000,10470000000,10735000000,5186000000,WFC
452,2018-03-31,USD,6636000000,21934000000,15298000000,3300000000,-303000000,6674000000,None,6939000000,None,12238000000,15347000000,3109000000,9696000000,None,None,265000000,6510000000,1374000000,3109000000,5327000000,2477000000,9619000000,9884000000,5136000000,WFC
453,2023-01-31,CAD,13010000000,13010000000,None,None,None,4734000000,None,4734000000,None,7733000000,18056000000,10323000000,None,None,None,431000000,2244000000,947000000,None,1582000000,None,12852000000,13283000000,1582000000,TD
454,2022-10-31,USD,11926000000,11926000000,None,None,None,4230000000,None,4230000000,None,7630000000,14699000000,7069000000,None,None,None,463000000,7678000000,1297000000,None,6671000000,None,15037000000,15500000000,6671000000,TD
455,2022-07-31,CAD,11503000000,11503000000,None,None,None,4156000000,None,4156000000,None,7044000000,10782000000,3738000000,None,None,None,430000000,3649000000,703000000,None,3214000000,None,7655000000,8085000000,3214000000,TD
456,2022-04-30,CAD,11165000000,11165000000,None,None,None,3874000000,None,3874000000,None,6377000000,8029000000,1652000000,None,None,None,438000000,4611000000,1002000000,None,3811000000,None,6465000000,6903000000,3811000000,TD
457,2022-01-31,CAD,None,11168000000,None,None,None,4321000000,None,None,None,6302000000,7091000000,1220000000,None,None,None,435000000,4486000000,984000000,None,3733000000,None,5937000000,6372000000,3733000000,TD
458,2021-10-31,CAD,None,10829000000,None,None,None,4079000000,None,None,None,6262000000,7045000000,1177000000,None,None,None,475000000,4467000000,910000000,None,3781000000,None,5868000000,6343000000,3781000000,TD
459,2021-07-31,CAD,None,10603000000,None,None,None,4168000000,None,None,None,5642000000,6944000000,1302000000,None,None,None,469000000,4297000000,922000000,None,3545000000,None,5769000000,6238000000,3545000000,TD
460,2021-04-30,USD,None,10120000000,None,None,None,3566000000,None,None,None,5392000000,6783000000,1391000000,None,None,None,543000000,4435000000,962000000,None,3695000000,None,6048000000,6591000000,3695000000,TD
461,2021-01-31,USD,None,10714000000,None,None,None,4203000000,None,None,None,5635000000,7215000000,1580000000,None,None,None,579000000,3935000000,827000000,None,3277000000,None,5684000000,6263000000,3277000000,TD
462,2020-10-31,USD,None,11028000000,None,None,None,3511000000,None,6582000000,None,6367000000,7360000000,1397000000,None,None,None,636000000,4588000000,-202000000,None,5143000000,None,6338000000,6974000000,5143000000,TD
463,2020-07-31,USD,10665000000,11032000000,None,None,2365000000,3855000000,None,9883000000,None,6483000000,7707000000,1583000000,None,None,None,503000000,2365000000,445000000,None,2248000000,None,4276000000,4779000000,2248000000,TD
464,2020-04-30,USD,10528000000,10434000000,2963000000,2963000000,1518000000,3598000000,None,11973000000,None,6460000000,9007000000,2963000000,None,None,None,509000000,1518000000,250000000,None,1515000000,None,4728000000,5237000000,1515000000,TD
465,2020-01-31,USD,10609000000,10680000000,4093000000,4093000000,3443000000,3813000000,0,11259000000,None,6301000000,9859000000,4093000000,None,0,None,493000000,3443000000,659000000,None,2989000000,None,7741000000,8234000000,2989000000,TD
466,2019-10-31,USD,10340000000,10254000000,4363000000,4363000000,3201000000,3449000000,0,11502000000,None,6175000000,10091000000,4363000000,None,0,None,377000000,3201000000,646000000,None,2856000000,None,7865000000,8242000000,2856000000,TD
467,2019-07-31,USD,10499000000,10415000000,4620000000,4620000000,3758000000,3561000000,0,11361000000,None,6024000000,10261000000,4620000000,None,0,None,345000000,3758000000,813000000,None,3248000000,None,8681000000,9026000000,3248000000,TD
468,2019-04-30,USD,10228000000,10145000000,4401000000,4401000000,3679000000,3467000000,0,10950000000,None,5872000000,9889000000,4401000000,None,0,None,344000000,3679000000,773000000,None,3172000000,None,8346000000,8690000000,3172000000,TD
469,2019-01-31,USD,9998000000,9915000000,4684000000,4684000000,2591000000,3554000000,0,12091000000,None,5860000000,10544000000,4684000000,None,0,None,339000000,2591000000,503000000,None,2410000000,None,7579000000,7918000000,2392000000,TD
470,2018-10-31,USD,10136000000,10045000000,4238000000,4238000000,3416000000,3364000000,0,10958000000,None,None,None,4238000000,None,0,None,366000000,3416000000,691000000,None,1710448514.56,None,7871000000,8237000000,2942000000,TD
471,2018-07-31,USD,9899000000,9814000000,3856000000,3856000000,3580000000,3267000000,0,10175000000,None,None,None,3856000000,None,0,None,336000000,3580000000,705000000,None,2387176135.93,None,7648000000,7984000000,3087000000,TD
472,2018-04-30,USD,9482000000,9391000000,3211000000,3211000000,3531000000,3055000000,0,9162000000,None,None,None,3211000000,None,None,None,356000000,3531000000,746000000,None,2271028037.38,None,6855000000,7211000000,2898000000,TD
473,2018-01-31,USD,9375000000,9278000000,2878000000,2878000000,3246000000,3135000000,0,9007000000,None,None,None,2878000000,None,None,None,333000000,3246000000,1040000000,None,1910678034.92,None,6253000000,6586000000,2335000000,TD
474,2022-12-31,USD,4057000000,19662000000,9868000000,26123000000,-2456000000,4399000000,None,6513000000,None,2319000000,9232000000,6913000000,10430000000,None,None,1207000000,2764000000,528000000,6913000000,2266000000,1741000000,9677000000,10884000000,2236000000,MS
475,2022-09-30,USD,4556000000,16577000000,9563000000,6369000000,1395000000,2273000000,None,3161000000,None,2510000000,6101000000,3591000000,10476000000,None,None,928000000,3358000000,726000000,3591000000,2662000000,1895000000,6949000000,7877000000,2632000000,MS
476,2022-06-30,USD,4640000000,14462000000,9712000000,6307000000,1236000000,2264000000,None,3404000000,None,2282000000,3612000000,1330000000,10850000000,None,None,921000000,3278000000,783000000,1330000000,2536000000,2376000000,4608000000,5529000000,2495000000,MS
477,2022-03-31,USD,5983000000,15235000000,10195000000,1316000000,2023000000,2136000000,None,3960000000,None,2216000000,2650000000,434000000,12585000000,None,None,942000000,4539000000,873000000,434000000,3715000000,1866000000,4973000000,5915000000,3666000000,MS
478,2021-12-31,USD,6224000000,14846000000,9624000000,1133000000,-412000000,4431000000,None,6636000000,None,2089000000,2411000000,322000000,12435000000,None,None,1237000000,4864000000,1168000000,322000000,3716000000,3295000000,5186000000,6423000000,3696000000,MS
479,2021-09-30,USD,6168000000,15041000000,9860000000,1113000000,3248000000,2095000000,None,2920000000,None,2063000000,2351000000,288000000,12690000000,None,None,1035000000,4857000000,1150000000,288000000,3724000000,3529000000,5145000000,6180000000,3707000000,MS
480,2021-06-30,USD,5915000000,15106000000,10136000000,1142000000,3049000000,2071000000,None,2866000000,None,1865000000,2212000000,347000000,12894000000,None,None,1057000000,4565000000,1054000000,347000000,3512000000,3742000000,4912000000,5969000000,3511000000,MS
481,2021-03-31,USD,6988000000,16128000000,10415000000,1319000000,3283000000,1908000000,None,3705000000,None,2028000000,2437000000,409000000,13691000000,None,None,887000000,5296000000,1176000000,409000000,4168000000,3328000000,5705000000,6592000000,4120000000,MS
482,2020-12-31,USD,4430000000,14014000000,9210000000,1150000000,4430000000,3305000000,None,5823000000,None,1871000000,2245000000,374000000,11769000000,None,None,1406000000,4403000000,1018000000,374000000,3412000000,1960000000,4777000000,6183000000,3385000000,MS
483,2020-09-30,USD,4398000000,12291000000,8233000000,1267000000,2092000000,1609000000,None,2306000000,None,1486000000,2056000000,570000000,10235000000,None,None,853000000,3453000000,736000000,570000000,2751000000,2179000000,4023000000,4876000000,2717000000,MS
484,2020-06-30,USD,4965000000,14418000000,9305000000,1474000000,2697000000,1552000000,None,2268000000,None,1600000000,2358000000,758000000,12060000000,None,None,686000000,4315000000,1119000000,758000000,3236000000,1102000000,5073000000,5759000000,3196000000,MS
485,2020-03-31,USD,2922000000,11926000000,7633000000,2887000000,-151000000,1509000000,None,3073000000,None,1356000000,3503000000,2147000000,8423000000,None,None,824000000,2064000000,366000000,2147000000,1780000000,6581000000,4211000000,5035000000,1698000000,MS
486,2019-12-31,USD,2733000000,13376000000,8124000000,3152000000,2561000000,2850000000,None,172000000,None,1433000000,3952000000,2519000000,9424000000,None,None,656000000,2667000000,428000000,2519000000,2305000000,1049000000,5186000000,5842000000,2239000000,MS
487,2019-09-30,USD,3633000000,13164000000,7356000000,3769000000,1398000000,1598000000,None,2235000000,None,1218000000,4350000000,3132000000,8814000000,None,None,654000000,2665000000,492000000,3132000000,2218000000,2626000000,5797000000,6451000000,2173000000,MS
488,2019-06-30,USD,3869000000,13721000000,7348000000,4107000000,1649000000,1590000000,None,2220000000,None,1029000000,4506000000,3477000000,9215000000,None,None,675000000,2858000000,657000000,3477000000,2246000000,2623000000,6335000000,7010000000,2201000000,MS
489,2019-03-31,USD,2901000000,13562000000,7358000000,1125000000,-4535000000,6185000000,None,7436000000,None,1014000000,4290000000,3276000000,9272000000,None,None,658000000,2916000000,487000000,3276000000,2468000000,2248000000,6192000000,6850000000,2429000000,MS
490,2018-12-31,USD,1857000000,11670000000,6691000000,1127000000,1857000000,5499000000,None,6772000000,None,989000000,4111000000,3122000000,7559000000,None,None,469000000,1831000000,300000000,3122000000,1557000000,3238000000,4953000000,5422000000,1531000000,MS
491,2018-09-30,USD,2849000000,12563000000,7022000000,1072000000,-3606000000,5896000000,None,6455000000,None,936000000,3627000000,2691000000,8936000000,None,None,468000000,2808000000,696000000,2691000000,2155000000,1183000000,5499000000,5967000000,2112000000,MS
492,2018-06-30,USD,3215000000,12998000000,7448000000,1105000000,-3616000000,6222000000,None,6831000000,None,906000000,3294000000,2388000000,9704000000,None,None,517000000,3077000000,640000000,2388000000,2469000000,2773000000,5465000000,5982000000,2437000000,MS
493,2018-03-31,USD,3382000000,12962000000,7676000000,7426000000,-4021000000,6378000000,None,7403000000,None,975000000,2860000000,1885000000,10102000000,None,None,390000000,3382000000,714000000,1885000000,2706000000,2759000000,5267000000,5657000000,2668000000,MS
494,2022-12-31,USD,2906000000,7533000000,4627000000,4627000000,1746000000,126000000,None,1160000000,None,-188000000,None,188000000,None,None,None,520000000,1471000000,353000000,None,1118000000,None,1653000000,2173000000,1112000000,NTR
495,2022-09-30,USD,3262000000,8188000000,4926000000,4926000000,1912000000,176000000,None,1350000000,None,-136000000,None,136000000,None,None,None,526000000,2070000000,487000000,None,1583000000,None,2200000000,2726000000,1577000000,NTR
496,2022-06-30,USD,5999000000,14506000000,8507000000,8507000000,4532000000,1105000000,None,9974000000,None,-130000000,None,130000000,None,None,None,None,4815000000,1214000000,None,3601000000,None,4463000000,5450000000,3593000000,NTR
497,2022-03-31,USD,3257000000,7657000000,4400000000,4400000000,1999000000,261000000,None,1237000000,None,-109000000,None,109000000,None,None,None,461000000,1890000000,505000000,None,1385000000,None,1992000000,2453000000,1378000000,NTR
498,2021-12-31,USD,3206000000,7267000000,4061000000,4061000000,1827000000,221000000,None,1240000000,None,-246000000,246000000,121000000,None,None,None,497000000,1581000000,374000000,None,1207000000,None,1696000000,2193000000,1201000000,NTR
499,2021-09-30,USD,2165000000,6024000000,3859000000,3859000000,1057000000,174000000,None,1051000000,None,-122000000,122000000,122000000,None,None,None,489000000,935000000,209000000,None,726000000,None,1048000000,1537000000,717000000,NTR
500,2021-06-30,USD,2882000000,9763000000,6881000000,6881000000,1619000000,154000000,None,1126000000,None,-125000000,125000000,125000000,None,None,None,485000000,1494000000,381000000,None,1113000000,None,1614000000,2099000000,1108000000,NTR
501,2021-03-31,USD,1156000000,4658000000,3502000000,3502000000,299000000,126000000,None,857000000,None,-120000000,120000000,120000000,None,None,None,480000000,158000000,25000000,None,133000000,None,272000000,752000000,127000000,NTR
502,2020-12-31,USD,1214000000,4101000000,2887000000,2887000000,403000000,177000000,None,983000000,None,-119000000,119000000,87000000,None,None,None,499000000,284000000,-32000000,None,316000000,None,371000000,870000000,316000000,NTR
503,2020-09-30,USD,997000000,4205000000,3208000000,3208000000,-722000000,136000000,None,870000000,None,-129000000,129000000,129000000,None,None,None,500000000,-851000000,-264000000,None,-587000000,None,-722000000,-222000000,-587000000,NTR
504,2020-06-30,USD,2155000000,8416000000,6261000000,6261000000,1231000000,113000000,None,924000000,None,-139000000,139000000,139000000,None,None,None,517000000,1000000000,235000000,None,765000000,None,1139000000,1656000000,765000000,NTR
505,2020-03-31,USD,873000000,4186000000,3313000000,3313000000,102000000,72000000,None,771000000,None,-133000000,133000000,133000000,None,None,None,473000000,-51000000,-16000000,None,-35000000,None,82000000,555000000,-35000000,NTR
506,2019-12-31,USD,1014000000,3541000000,2527000000,2527000000,63000000,126000000,None,889000000,None,-141000000,141000000,92000000,None,None,None,436000000,-78000000,-30000000,None,-48000000,None,14000000,450000000,-48000000,NTR
507,2019-09-30,USD,1140000000,4134000000,2994000000,2994000000,328000000,76000000,None,775000000,None,-147000000,147000000,147000000,None,None,None,457000000,181000000,40000000,None,141000000,None,328000000,785000000,141000000,NTR
508,2019-06-30,USD,2312000000,8657000000,6345000000,6345000000,1295000000,154000000,None,940000000,None,-143000000,143000000,143000000,None,None,None,486000000,1152000000,294000000,None,858000000,None,1295000000,1781000000,858000000,NTR
509,2019-03-31,USD,975000000,3691000000,2716000000,2716000000,176000000,152000000,None,755000000,None,-123000000,123000000,123000000,None,None,None,420000000,53000000,12000000,None,41000000,None,176000000,596000000,41000000,NTR
510,2018-12-31,USD,1259000000,3762000000,2503000000,2503000000,546000000,78000000,0,766000000,None,None,None,110000000,None,None,None,398000000,402000000,106000000,None,296000000,None,3418000000,3816000000,3202000000,NTR
511,2018-09-30,USD,1155000000,4034000000,2879000000,2879000000,-1359000000,163000000,0,802000000,None,None,None,142000000,None,None,None,427000000,-1501000000,-434000000,None,-1067000000,None,-1336000000,-909000000,-1044000000,NTR
512,2018-06-30,USD,2131000000,8145000000,6014000000,6014000000,1151000000,179000000,0,910000000,None,None,None,133000000,None,None,None,356000000,1018000000,277000000,None,741000000,None,1826000000,2182000000,1416000000,NTR
513,2018-03-31,USD,847000000,3695000000,2848000000,2848000000,76000000,119000000,0,706000000,None,None,None,113000000,None,None,None,411000000,-43000000,-42000000,None,-1000000,None,70000000,481000000,-1000000,NTR
514,2017-12-31,USD,-78000000,1081000000,1159000000,1159000000,-347000000,60000000,0,105000000,None,None,None,43000000,None,None,None,172000000,-405000000,-156000000,None,354000000,None,-189000000,-17000000,-76000000,NTR
515,2022-12-31,USD,None,25713000000,None,None,10833000000,None,None,None,None,None,39000000,280000000,None,None,None,None,10181000000,None,None,None,None,None,None,6457000000,BHP
516,2022-06-30,USD,None,34571000000,None,None,19261000000,None,None,None,None,None,199000000,335000000,None,None,None,None,18644000000,2889000000,None,None,None,9014500000,None,21457000000,BHP
517,2022-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2889000000,None,None,None,9014500000,None,None,BHP
518,2021-12-31,USD,None,30527000000,None,None,14845000000,None,None,None,None,None,109000000,354000000,None,None,None,None,14493000000,2479500000,None,None,None,7455500000,None,9443000000,BHP
519,2021-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2479500000,None,None,None,7455500000,None,None,BHP
520,2021-06-30,USD,None,35178000000,None,None,16156000000,None,None,None,None,None,135000000,446000000,None,None,None,None,15775000000,3576000000,None,None,None,9413500000,None,7428000000,BHP
521,2021-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3576000000,None,None,None,9413500000,None,None,BHP
522,2020-12-31,USD,5568500000,12819500000,7251000000,7251000000,5439500000,None,None,7251000000,None,None,287000000,127000000,None,None,None,1622500000,4413000000,1999000000,None,None,None,3810000000,5432500000,1938000000,BHP
523,2020-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1999000000,None,None,None,5519000000,None,None,BHP
524,2020-06-30,USD,12569000500,10234000000,-2335000500,-2335000500,3184000000,5486000500,None,-2335000500,None,None,182000000,197500000,None,None,None,1549000000,2860000000,1087000000,None,None,None,2433500000,3982500000,1544000000,BHP
525,2020-03-31,USD,12569000500,10234000000,None,None,None,5486000500,None,None,None,None,None,None,None,None,None,None,None,1087000000,None,None,None,3184000000,None,None,BHP
526,2019-12-31,USD,4490000000,22294000000,6741500000,6741500000,8314000000,None,None,6841000000,None,None,263000000,126000000,None,None,None,None,7790000000,1300000000,None,2595000000,None,4390500000,None,4868000000,BHP
527,2019-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1300000000,None,None,None,None,None,None,BHP
528,2019-06-30,USD,14179500000,23546000000,-2331000000,-2331000000,8780000000,5636500000,None,7259000000,None,None,271000000,662000000,None,None,None,None,8249000000,1585500000,None,2539000000,None,4589500000,None,4542000000,BHP
529,2018-12-31,USD,3784500000,20742000000,6671500000,6671500000,7333000000,5636500000,None,6753500000,None,None,304000000,116000000,None,None,None,None,6800000000,1179000000,None,2221000000,None,3702500000,None,3764000000,BHP
530,2018-09-30,USD,3784500000,10456000000,6671500000,6671500000,3702500000,5636500000,None,6753500000,None,None,None,287000000,None,None,None,None,3400000000,1179000000,None,2221000000,None,3702500000,None,1882000000,BHP
531,2018-06-30,USD,14208500000,22603000000,-2711000000,-2711000000,8831000000,5899500000,0,7332500000,None,None,370000000,66000000,None,None,None,None,8244000000,1453000000,None,2669000000,None,4165000000,None,1690000000,BHP
532,2018-03-31,USD,14208500000,11497500000,-2711000000,-2711000000,4165000000,5899500000,0,7332500000,None,None,None,168000000,None,None,None,None,4122000000,1453000000,None,2669000000,None,4165000000,None,845000000,BHP
533,2017-12-31,USD,0,20526000000,11146000000,11146000000,7165000000,0,0,0,None,None,441000000,213000000,None,None,None,None,6507000000,3492000000,None,0,None,0,None,2015000000,BHP
534,2017-09-30,USD,3744000000,10450000000,6706000000,6706000000,3708500000,5899500000,0,6741500000,None,None,None,346500000,None,None,None,None,3253500000,2050500000,None,1203000000,None,3708500000,None,1007500000,BHP
535,2017-06-30,USD,20154000000,19715000000,10193000000,10193000000,5603000000,10107000000,0,24142500000,None,None,None,618000000,None,None,None,None,4842000000,2072000000,None,7035000000,None,12344000000,None,2686000000,BHP
536,2022-12-31,USD,None,25779000000,None,None,7525000000,None,None,None,None,None,162000000,None,None,None,None,None,6347000000,None,None,None,None,None,None,3512000000,RIO
537,2022-06-30,USD,None,29775000000,None,None,12206000000,None,None,None,None,None,612000000,None,None,None,None,None,12315000000,1451000000,None,None,None,5749000000,None,8908000000,RIO
538,2022-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1451000000,None,None,None,5749000000,None,None,RIO
539,2021-12-31,USD,None,30412000000,None,None,12380000000,None,None,None,None,None,615000000,None,None,None,None,None,12784000000,1638500000,None,None,None,6130500000,None,8781000000,RIO
540,2021-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1638500000,None,None,None,6130500000,None,None,RIO
541,2021-06-30,USD,None,33083000000,None,None,17437000000,None,None,None,None,None,819000000,None,None,None,None,None,18049000000,2490500000,None,None,None,8583500000,None,12313000000,RIO
542,2021-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2490500000,None,None,None,8583500000,None,None,RIO
543,2020-12-31,USD,5778500000,12624500000,6846000000,6846000000,5230000000,172500000,None,6846000000,None,None,484000000,185500000,None,None,None,1184500000,5056000000,1581500000,None,None,None,4622500000,5807000000,3226500000,RIO
544,2020-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1581500000,None,None,None,5230000000,None,None,RIO
545,2020-06-30,USD,None,19362000000,None,None,5731000000,None,None,None,None,None,238000000,None,None,None,None,None,5279000000,914000000,None,None,None,None,None,3316000000,RIO
546,2020-03-31,USD,3572500000,9681000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,914000000,None,None,None,None,None,None,RIO
547,2019-12-31,USD,4148500000,22443000000,7073000000,7073000000,6190000000,171500000,None,8156500000,None,None,68000000,307000000,None,None,None,None,5933000000,946000000,None,2020500000,None,3065000000,None,3880000000,RIO
548,2019-09-30,USD,4148500000,11221500000,7073000000,7073000000,3065000000,171500000,None,8156500000,None,None,None,307000000,None,None,None,None,2966500000,946000000,None,2020500000,None,3065000000,None,1940000000,RIO
549,2019-06-30,USD,3952000000,20722000000,6409000000,6409000000,5276000000,171500000,None,6704500000,None,None,105000000,53500000,None,None,None,None,5186000000,1127500000,None,1465500000,None,3656500000,None,4130000000,RIO
550,2019-03-31,USD,3952000000,10361000000,6409000000,6409000000,3656500000,171500000,None,6704500000,None,None,None,53500000,None,None,None,None,2593000000,1127500000,None,1465500000,None,3656500000,None,2065000000,RIO
551,2018-12-31,USD,3482500000,20608000000,6821500000,6821500000,11229000000,0,0,7065500000,None,None,392000000,238500000,None,None,None,None,11435000000,1004500000,None,4713000000,None,3238500000,None,9258000000,RIO
552,2018-09-30,USD,3482500000,10304000000,6821500000,6821500000,3238500000,0,0,7065500000,None,None,None,238500000,None,None,None,None,5717500000,1004500000,None,4713000000,None,3238500000,None,4629000000,RIO
553,2018-06-30,USD,3221000000,19914000000,6736000000,6736000000,6364000000,0,0,6954500000,None,None,559000000,48500000,None,None,None,None,6732000000,1116500000,None,2249500000,None,3002500000,None,4380000000,RIO
