,AAPL,MSFT,META,AMZN,GOOG,HUYA,KC,VNET,ANGI,TWOU,MU,RNG,IQV,FSLY,QTWO,TWLO,AKAM,DBX,WIX,VMW,NTNX,NFLX,ZM,BOX,IT,DOCU,NEWR,SPLK,ESTC,AYX,COUP,APPN,APPF,PANW,OKTA,PD,FIVN,WDAY,ADBE,BL,SMAR,ADSK,QLYS,ANSS,DT,HUBS,NOW,PCTY,ANET,VEEV,TEAM,CSGP,MDB,PAYC,CRWD,ZS,TTD,AZPN,DDOG,SHY,TLT,LQD,HYG,REM,IVV,ASHR,VGK,EWC,INDA,EWJ,EWG,ACWI,FM,EEM,UUP,BITO,GSG,IWM,FXE,FXY,FXB,FXC,CYB,FXA,FXF,XHB,XRT,XTN,FENY,PSJ,VFH,VDC,VPU,VIS,V,VHT,VAW,RY,BAM,SU,ASML,JPM,ARKK,IMO,AMD,NVDA,Z,BCE,NTR,CRM,OXY,CVX,XOM,ADM,RTX,LMT,INTC,TSM,SHOP,AB
2022-11-28,143.818857125264,241.151122962963,108.78,93.95,96.25,2.06,2.36,4.63,2.19,7.57,55.6220181654856,34.82,214.45,8.72,25.29,46.77,91.55,22.21,84.08,117.52,27.95,281.17,71.59,27.67,345.03,45.79,52.65,76.48,57.77,43.46,61.31,37.5,113.62,171.39,50.2,21.32,60.82,145.25,328.97,62.56,28.56,195.35,123.17,241.75,36.78,288.72,401.93,209.0,133.7,186.67,126.45,78.74,143.5,325.23,139.45,136.72,49.01,230.77,73.47,80.5532551883245,102.189533669294,105.631596005558,72.725581120746,23.6609427053278,394.34632079773,26.0008446342591,54.9698997724311,34.191779247965,43.18,55.4068594438744,24.8116625090495,86.3481427091955,25.4333028767834,37.0391614445596,28.5392773143668,9.82149369929053,20.85,180.344110016248,95.2049771479376,67.15,114.404042065597,72.073393268959,23.9804560518827,65.6867507784864,93.93,60.3872501334797,65.1653995365781,72.055793793543,24.0756339566225,92.4830119525405,85.3078980348092,194.152504383983,150.968552807495,184.858981517939,210.846305483029,246.580367064425,174.068931514583,97.6723842808634,,33.4256995740635,582.029502505802,133.36466813348,34.99,55.5231301266571,73.19,158.205425672632,35.29,46.0135647219758,78.9907535184419,153.69,67.8868247247233,176.780574712644,108.968225086345,95.7221206581353,96.3680606846991,477.221867121594,28.3641455859577,78.3681736865168,38.03,39.3292270296548
2022-11-25,147.698037226618,246.866691851852,111.41,93.41,97.6,2.14,2.5,4.89,2.12,7.91,58.2759117676415,35.6,219.98,8.55,26.03,48.56,92.52,22.28,86.36,119.26,28.71,285.54,75.4,28.09,342.57,46.03,52.62,78.29,58.88,43.98,62.69,37.55,115.94,172.77,50.09,21.83,60.68,148.98,334.3,63.08,28.87,200.66,125.31,246.44,36.71,290.18,407.21,215.14,135.76,185.66,124.13,79.98,147.75,327.1,140.05,138.75,49.39,243.68,74.84,80.5334169282117,101.902345329686,106.401692695757,73.4996744794821,24.079552065615,400.692511179951,26.3074350426509,55.8700726857461,34.8225875131336,43.27,55.8359058973386,25.2515147050197,87.618406157854,25.184054514604,37.2066257383249,28.3311061356236,10.0181201997768,21.02,184.053343251294,95.8739581095435,67.1,115.831179963486,72.72987187174,24.0760462850739,66.6450985102091,94.3491,61.6993681610713,65.7777449096105,73.7991594666897,24.7727669137678,93.9537996638355,86.8867602309422,194.893619908657,152.691376201125,188.440866136477,213.371351174935,248.685260876289,178.249042429006,99.9102146587502,,34.6083047344324,590.510406903408,135.737139713971,36.0,56.629640904982,75.14,162.633618227947,35.29,46.5661928697113,81.1181852840259,153.35,69.9265138744475,182.073287590898,112.342161570213,96.8658135283364,96.9349316299032,477.468769020935,28.9714197212184,80.5247328715283,36.79,40.4105104521147
2022-11-23,150.649804090373,246.956465185185,112.24,94.13,98.82,2.29,2.76,5.06,2.14,7.61,58.7947180357321,36.08,217.72,8.59,25.89,48.36,91.92,22.44,84.86,119.35,28.76,291.5,76.14,28.13,343.27,46.35,53.37,78.34,59.6,44.48,58.93,37.57,116.9,173.1,50.74,22.0,60.63,149.34,335.78,63.14,29.07,197.07,125.09,246.96,36.88,289.3,409.37,215.01,137.19,188.06,124.5,80.02,150.77,327.21,140.89,140.08,49.54,239.75,75.31,80.5234977981552,102.248951946454,106.29308931637,73.6466542311408,23.8131642908868,400.722258947368,26.6140254510427,55.4941763043618,34.6648854468414,42.84,55.4567485663702,25.0615785294871,87.5489386255054,24.8251368730657,37.3839408728999,28.3311061356236,10.0181201997768,21.25,183.666551550313,95.8440037381283,66.95,115.489431619531,72.7895517447201,24.2644502716539,66.6051673547206,94.78,61.6496667206322,65.8172510627094,73.2512445408436,24.8316795580336,94.1890859197465,86.5019125706348,194.47859521484,151.697060985373,187.736395754438,211.315385117493,247.225735450138,178.33819171391,99.9003127544233,,34.930833414533,602.493425940496,135.479046571324,36.32,56.6494000260235,76.4,165.122602305314,35.48,46.2074693352163,78.8430152013875,152.24,70.7622889406759,182.608505747126,112.739095274198,96.2492138939671,96.5967980836411,475.108386863238,29.2972741352607,81.0886038510955,36.77,40.2335731648031
2022-11-22,149.762279594177,244.412887407407,111.44,93.2,97.33,2.24,2.73,5.07,2.03,6.64,58.4854296836012,34.72,215.9,8.36,25.13,46.09,91.73,22.35,83.85,118.39,28.26,286.69,77.15,28.23,342.76,43.86,51.91,77.34,57.26,43.6,45.72,36.31,116.97,171.67,47.97,21.15,59.35,146.29,330.88,60.57,27.73,208.9,123.21,244.03,36.33,272.58,400.28,208.92,136.04,185.54,116.34,79.43,146.8,319.38,135.8,136.76,48.38,238.65,72.33,80.4540638877602,100.496112770229,105.236674625969,73.2351109264963,23.6704565544252,398.342437554035,26.6634755169123,54.8709796720668,34.5466088971223,42.9,54.8281456229227,24.881638994772,86.8741111684057,24.6955277247325,37.0785648077985,28.6284935338282,9.62486719880423,21.66,183.190500226029,94.8854638528423,66.08,113.846410735135,72.7497651627334,24.3090722684755,65.6967335673586,93.75,61.34151778991,65.5999672206656,72.5837845402674,25.1262427793626,92.8813875827939,86.2058759088599,193.98451819839,150.131752873447,187.022003254341,209.918126631854,246.153431055414,177.605186482471,99.8210975198078,,35.2826828837337,594.870589517236,134.049607627429,35.31,56.9161481600839,75.25,160.314564790401,34.45,45.9360028766796,79.7097466614402,149.25,72.4039899636247,184.243894557823,113.304725802376,97.1343327239488,96.3183351631899,473.557842935379,29.4453897780072,81.6524748306627,35.28,40.4694895478853
2022-11-21,147.598315373113,241.440392592593,109.86,92.46,95.83,2.29,2.87,5.25,2.08,7.27,57.0287813155005,35.79,214.9,8.4,25.15,45.89,90.92,22.39,83.76,116.77,27.9,285.05,80.26,28.22,338.27,44.18,52.29,77.28,57.38,43.44,45.64,35.51,115.24,170.62,48.29,21.31,56.41,143.2,321.49,60.48,28.28,206.5,123.15,241.28,36.81,263.84,387.38,205.7,134.61,181.68,117.56,80.56,147.02,315.14,135.56,135.92,48.32,231.0,73.35,80.3945491074215,99.0898802107717,104.308609383935,72.7059838205248,23.3945549305995,392.928343884203,26.4953452929555,54.1389709293711,33.8665187362375,42.61,53.6806958055185,24.6617128967869,85.8023263836001,24.6456780522966,36.9899072405109,28.806925972751,9.42824069831793,21.4,181.256541721126,94.3363003768972,65.7,113.308694809333,72.3200700772767,24.1157102822486,65.2489056585557,93.0874,60.2182652359868,63.8715730225903,72.6037087193891,24.3014657596414,92.2331073197829,85.3078980348092,192.699917955622,148.842096504501,185.672595198604,205.915979112272,243.988964777176,173.64299604226,97.8308147500943,,34.3835120179987,578.98635445725,132.074202420242,35.2,55.2465024320759,72.46,153.107506478025,34.16,45.6936221101289,75.6321691107376,144.85,69.2399843557598,179.63507154586,110.1193328279,95.5828884826325,95.6719033835712,474.979997875581,28.5764446738943,79.0705392926444,35.21,39.3193971803597
2022-11-18,150.869192168085,240.612482962963,112.05,94.14,97.8,2.51,3.03,5.08,2.17,7.59,58.4455215091326,36.21,213.78,8.93,25.88,49.25,90.95,22.28,85.09,116.56,28.53,287.98,81.64,28.54,337.69,46.0,51.31,77.3,58.01,44.2,45.87,37.13,119.14,167.48,49.86,21.92,58.18,146.74,330.86,60.52,28.37,210.37,123.97,243.76,36.59,272.6,399.38,207.36,135.48,184.08,118.76,80.8,159.88,316.39,138.99,138.73,49.77,239.86,76.52,80.4143873675344,98.6739522706505,104.466577935771,72.7353797708566,23.0710840612866,394.43556409998,26.9206158594345,54.5346513308283,34.0439335608161,42.93,54.1197200834819,24.9216255580421,86.278675176847,24.7653172661427,37.4627475993777,28.5591031409138,9.96896357465525,21.44,182.208644369694,95.155053195579,66.5,113.687087497861,72.6701919987599,24.3289042670629,65.8925958850294,93.6,60.586055895236,64.1481160942823,72.85276095841,24.6745791733248,93.6073341880984,85.0414650392118,190.911359156075,148.015141275559,185.226099886044,210.387206266319,244.088252221132,173.177438665535,98.1575775928831,,34.8037766617661,591.827441468683,132.858408507517,36.56,55.7799987001968,73.57,154.027131117052,35.26,45.8972219540315,76.6269404455709,148.04,70.891635081878,181.369574829932,111.220823856457,94.6281535648994,94.8365146222178,470.911054574447,29.4947616589227,81.3853780508677,36.59,38.7296062226543
2022-11-17,150.300777603105,241.071324444444,111.45,94.85,98.5,2.7,3.3,5.45,2.04,7.54,58.6051542070067,36.98,211.42,9.07,26.27,50.75,90.79,22.23,86.65,115.43,28.2,295.28,82.59,28.29,332.62,47.44,55.0,78.25,59.48,44.14,48.34,38.24,118.05,156.56,49.07,22.54,57.81,148.81,337.83,61.78,28.81,214.68,122.95,243.92,36.73,278.17,400.58,207.1,132.06,183.77,121.69,80.75,163.79,318.34,139.23,136.75,50.06,241.4,79.0,80.5036595380423,99.3572624579924,104.476450970261,72.5786013690873,22.9378901739225,392.571370675203,26.9997359648259,54.3071350999904,34.0537899399594,42.94,54.1396757324802,24.841652431502,86.1099683125721,24.7453773971683,37.6794660971916,28.4797998347259,9.98862622470388,21.63,181.038351530829,95.5344752335047,66.56,113.525274835004,72.9884846546537,24.2198282748323,66.0660967556266,93.785,60.2282055240746,63.5357707212499,72.4343531968548,24.8709546542108,93.7167234025963,84.4493917156619,189.073392654883,144.963282692557,183.926302420591,210.576834203655,241.248631323994,172.038308913974,98.3061061577871,,35.458607618334,587.706719684905,131.567942794279,37.12,56.0072285921742,73.9,156.706037674218,37.31,45.0925178090833,77.7497516551846,149.69,71.1005788484351,182.459834037063,112.193311431219,94.0811700182815,94.0110709651662,466.911243805128,29.5145104112889,80.6038726581342,37.72,39.1129703451629
2022-11-16,148.376145830454,241.121198518518,113.23,97.12,98.99,2.77,3.15,5.55,2.17,7.79,58.7348557740293,38.32,224.02,9.77,27.29,50.81,90.82,22.43,87.13,115.32,28.62,306.02,83.5,28.74,335.95,49.55,56.77,81.19,63.02,46.57,51.01,39.02,122.45,159.09,50.42,23.68,60.01,155.39,338.41,64.2,30.34,221.14,125.98,252.92,37.58,295.11,412.2,218.82,130.69,189.26,129.27,82.47,174.69,337.69,143.65,140.35,51.42,246.56,82.44,80.6028508386067,100.416888400682,105.039213936175,72.8921581726259,23.3564995342098,393.90010428648,27.1480861624349,54.3763791702454,34.1622101105352,43.12,54.2394539774718,24.7516826641445,86.3183709096176,24.5659185763992,37.6105102115235,28.3707577887176,9.83132502431484,22.07,182.734284373591,95.7741102048262,66.93,114.07882350751,73.0481645276338,24.5024342547024,66.6950124545696,94.48,61.0830702996267,63.1703388050854,73.1117752869918,24.8513171061222,94.9995605544358,84.9921255955826,189.211734219488,147.493371904916,184.432330441493,209.728498694517,241.715282310587,173.514224852953,97.6624823765365,,35.4488340219674,575.404419541084,132.14368903557,37.91,55.9380716685289,72.7,159.035087031754,36.96,45.344593806296,76.5579958976121,155.12,71.5682148973962,181.948383906616,112.044461292225,94.6679341864717,93.2892779297794,460.46216619435,29.1590328686973,78.5957005730088,38.51,39.5159941662615
2022-11-15,149.622668999269,240.683537830642,117.08,98.94,98.72,3.18,3.42,5.99,2.28,8.61,62.9551452240743,41.67,224.31,10.7,29.09,53.88,92.46,22.9,91.24,116.29,29.06,310.2,87.44,29.04,338.44,53.32,59.77,85.0,67.08,48.53,54.1,41.57,121.9,162.38,53.42,25.16,63.84,160.74,345.96,65.84,32.08,232.3,127.79,254.21,38.59,308.02,419.48,226.92,132.65,191.66,141.18,82.71,182.1,347.19,148.3,147.26,53.56,248.24,86.1,80.5929317085503,98.2679273767227,104.1506408321,73.0489365743952,23.9463581782509,396.815385493313,27.820607058262,54.4752992706097,34.3100557976841,43.66,54.429032642956,24.7416860233269,86.9733505003321,24.5459787074248,38.2212623417264,28.4302352683585,10.0967707999713,22.31,186.007137228043,95.3647337954853,67.05,113.487933451267,73.2172575010774,24.611510246933,66.8547370765234,94.52,61.9279947870911,65.6098437589404,75.4528663337888,25.3618933564258,96.6602877199954,85.5743310304067,188.352040210866,146.282473176822,186.06947992088,209.578792428198,242.509581862234,175.267494122747,98.1971852101908,,36.1818537494688,596.127758874999,131.965009167583,39.97,56.5110861787329,76.37,166.59200254376,37.75,45.2282510383517,78.3210064811285,162.07,74.0556406897428,184.958071212709,113.255109089377,94.0115539305302,94.7130888488985,461.459649867686,30.3242092583032,79.5948403789086,40.02,39.8305493437044
2022-11-14,147.867564377577,240.265770810396,114.22,98.49,96.03,2.3,3.25,5.59,2.33,7.35,61.6381754666134,38.63,222.36,9.56,27.51,52.84,91.53,22.78,86.92,115.57,28.26,299.27,84.35,28.86,334.38,51.55,59.79,84.08,64.73,45.93,51.63,39.0,116.44,161.73,51.41,23.87,61.55,153.38,340.37,63.49,31.04,223.31,125.4,251.85,37.4,292.96,400.4,213.61,131.2,188.3,134.96,82.21,171.08,329.82,142.01,136.85,47.76,238.31,78.12,80.5135786680988,96.7032460781716,102.71905083109,72.4120243172074,23.7370534981073,393.473719620175,27.1085261097391,54.2477830397719,34.0735026982459,43.48,54.069830960986,24.6417196151519,86.13974011215,24.9048963489631,37.3642391912804,28.5293644010934,9.64452984885286,21.98,183.289677585255,95.1350836146355,66.84,112.500527688257,73.1277376916073,24.5786882892709,66.180499516101,94.65,60.6556379118507,63.9604618670627,74.39688484034,25.0673301350968,95.2481724055674,85.3473695897126,186.405376766055,144.736854475109,184.432330441493,206.454921671018,242.320935718718,175.435887216456,97.9100299847098,,35.3804188474006,576.521903414651,132.927895122846,38.91,55.9380716685289,73.53,162.883516227683,36.88,45.5869745728467,76.6170912244339,158.66,72.9114248252634,183.482734297958,112.500935051807,93.3678426690233,91.9050173139693,456.314214285427,29.9687317157116,72.0172058113913,38.4,39.348886728245
2022-11-11,149.283614697352,245.796210411745,113.02,100.79,96.73,2.18,3.36,5.61,2.42,8.46,62.3764766942809,40.12,226.53,9.96,28.63,55.27,93.35,23.06,84.99,115.97,28.43,290.13,88.32,28.84,335.26,53.0,59.06,85.67,66.81,47.13,55.22,40.0,119.92,165.32,54.35,24.64,63.54,156.95,341.15,65.68,31.47,228.8,126.52,255.71,38.29,306.09,409.91,216.11,128.55,191.02,142.37,83.28,175.94,340.35,143.12,142.19,48.77,239.72,82.35,80.5830125784938,96.9409191868123,103.242321659045,72.9509500732894,24.2698290475638,396.805469570841,27.1184161229131,54.8808716821033,34.5367525179791,44.03,54.8181677984235,24.821659149867,86.9237308343689,24.2269408038352,37.5908085299041,28.400496528538,9.61503587377991,22.42,185.362484393075,95.4246425383157,67.31,113.368441023311,73.3366172470376,24.5321822525835,66.275735321941,94.83,62.4548300557453,64.75058492904,74.6359749898001,25.1360615534069,95.9470700414688,86.7979492324097,187.848081654088,146.420299048313,185.712283670832,204.598563968668,242.658513028168,175.584469357963,98.3061061577871,,35.9375138403016,575.145003641864,134.307700770077,40.4,57.1730167336236,72.37,163.203385667344,37.92,45.7324030327771,75.523827678231,157.73,73.956143658049,183.394214083073,112.17607235871,92.1695493976029,92.5971476218744,458.111660112627,30.0477267251764,73.0361305639426,39.44,38.5723286339329
